"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Swag Labs website login automation test suite","3","0","","0"
"2","","0","Swag Labs website automation test suite","4","0","","0"
